epoch 10200:	pdl:2.28e-01 	 Rec:2.68e-02 	Time: 2.09
epoch 10250:	pdl:2.42e-01 	 Rec:2.85e-02 	Time: 2.12
epoch 10300:	pdl:2.26e-01 	 Rec:2.52e-02 	Time: 2.10
epoch 10350:	pdl:2.26e-01 	 Rec:2.65e-02 	Time: 2.09
epoch 10400:	pdl:2.55e-01 	 Rec:2.74e-02 	Time: 2.04
epoch 10450:	pdl:2.44e-01 	 Rec:2.71e-02 	Time: 2.10
epoch 10500:	pdl:2.38e-01 	 Rec:2.71e-02 	Time: 1.96
epoch 10550:	pdl:2.35e-01 	 Rec:2.70e-02 	Time: 2.12
epoch 10600:	pdl:2.39e-01 	 Rec:2.98e-02 	Time: 2.09
epoch 10650:	pdl:2.41e-01 	 Rec:2.74e-02 	Time: 2.10
epoch 10700:	pdl:2.39e-01 	 Rec:2.83e-02 	Time: 2.10
epoch 10750:	pdl:2.64e-01 	 Rec:2.70e-02 	Time: 2.10
epoch 10800:	pdl:2.37e-01 	 Rec:2.68e-02 	Time: 1.96
epoch 10850:	pdl:2.22e-01 	 Rec:2.73e-02 	Time: 2.26
epoch 10900:	pdl:2.52e-01 	 Rec:2.73e-02 	Time: 2.09
epoch 10950:	pdl:2.39e-01 	 Rec:2.55e-02 	Time: 2.08
epoch 11000:	pdl:2.34e-01 	 Rec:2.76e-02 	Time: 2.08
epoch 11050:	pdl:2.40e-01 	 Rec:2.72e-02 	Time: 2.06
epoch 11100:	pdl:2.32e-01 	 Rec:2.84e-02 	Time: 2.09
epoch 11150:	pdl:2.47e-01 	 Rec:2.63e-02 	Time: 2.11
epoch 11200:	pdl:2.52e-01 	 Rec:2.75e-02 	Time: 2.08
epoch 11250:	pdl:2.43e-01 	 Rec:2.66e-02 	Time: 2.08
epoch 11300:	pdl:2.54e-01 	 Rec:2.68e-02 	Time: 2.12
epoch 11350:	pdl:2.32e-01 	 Rec:2.66e-02 	Time: 2.04
epoch 11400:	pdl:2.35e-01 	 Rec:2.50e-02 	Time: 1.99
epoch 11450:	pdl:2.37e-01 	 Rec:2.53e-02 	Time: 2.14
epoch 11500:	pdl:2.37e-01 	 Rec:2.56e-02 	Time: 2.08
epoch 11550:	pdl:2.27e-01 	 Rec:2.67e-02 	Time: 2.18
epoch 11600:	pdl:2.56e-01 	 Rec:2.72e-02 	Time: 2.10
epoch 11650:	pdl:2.44e-01 	 Rec:2.66e-02 	Time: 2.06
epoch 11700:	pdl:2.56e-01 	 Rec:2.45e-02 	Time: 2.10
epoch 11750:	pdl:2.38e-01 	 Rec:2.41e-02 	Time: 2.16
epoch 11800:	pdl:2.49e-01 	 Rec:2.69e-02 	Time: 2.10
epoch 11850:	pdl:2.49e-01 	 Rec:2.70e-02 	Time: 2.07
epoch 11900:	pdl:2.29e-01 	 Rec:2.44e-02 	Time: 2.06
epoch 11950:	pdl:2.70e-01 	 Rec:3.62e-02 	Time: 2.06
epoch 12000:	pdl:2.43e-01 	 Rec:2.62e-02 	Time: 2.01
epoch 12050:	pdl:2.35e-01 	 Rec:2.69e-02 	Time: 2.06
epoch 12100:	pdl:2.24e-01 	 Rec:2.60e-02 	Time: 1.92
epoch 12150:	pdl:2.52e-01 	 Rec:2.60e-02 	Time: 2.12
epoch 12200:	pdl:2.26e-01 	 Rec:2.97e-02 	Time: 2.00
epoch 12250:	pdl:2.36e-01 	 Rec:2.64e-02 	Time: 2.08
epoch 12300:	pdl:2.32e-01 	 Rec:2.72e-02 	Time: 2.04
epoch 12350:	pdl:2.32e-01 	 Rec:2.79e-02 	Time: 2.14
epoch 12400:	pdl:2.45e-01 	 Rec:2.64e-02 	Time: 2.08
epoch 12450:	pdl:2.49e-01 	 Rec:2.46e-02 	Time: 2.10
epoch 12500:	pdl:2.25e-01 	 Rec:2.44e-02 	Time: 2.10
epoch 12550:	pdl:2.34e-01 	 Rec:2.57e-02 	Time: 2.06
epoch 12600:	pdl:2.40e-01 	 Rec:2.66e-02 	Time: 2.07
epoch 12650:	pdl:2.40e-01 	 Rec:2.61e-02 	Time: 2.14
epoch 12700:	pdl:2.86e-01 	 Rec:2.49e-02 	Time: 2.14
epoch 12750:	pdl:2.32e-01 	 Rec:2.60e-02 	Time: 2.10
epoch 12800:	pdl:2.34e-01 	 Rec:2.54e-02 	Time: 2.09
epoch 12850:	pdl:2.38e-01 	 Rec:2.30e-02 	Time: 2.08
